,DateKey,event_Incident_Prediction_Rolling,MaxDate,DateDiff
531,2018-02-19,1.425,5/18/2018,88
535,2018-02-20,2.2,5/18/2018,87
539,2018-02-21,1.675,5/18/2018,86
543,2018-02-22,0.65,5/18/2018,85
547,2018-02-23,0.65,5/18/2018,84
551,2018-02-24,0.45,5/18/2018,83
554,2018-02-25,0.925,5/18/2018,82
558,2018-02-26,1.15,5/18/2018,81
562,2018-02-27,1.05,5/18/2018,80
566,2018-02-28,1.775,5/18/2018,79
570,2018-03-01,2.125,5/18/2018,78
574,2018-03-02,2.425,5/18/2018,77
578,2018-03-03,3.775,5/18/2018,76
582,2018-03-04,3.8,5/18/2018,75
586,2018-03-05,3.675,5/18/2018,74
590,2018-03-06,3.425,5/18/2018,73
594,2018-03-07,5.65,5/18/2018,72
598,2018-03-08,6.725,5/18/2018,71
602,2018-03-09,6.675,5/18/2018,70
606,2018-03-10,6.425,5/18/2018,69
610,2018-03-11,6.325,5/18/2018,68
614,2018-03-12,6.05,5/18/2018,67
618,2018-03-13,6.6,5/18/2018,66
622,2018-03-14,6.1,5/18/2018,65
626,2018-03-15,6.65,5/18/2018,64
630,2018-03-16,7.15,5/18/2018,63
634,2018-03-17,5.925,5/18/2018,62
638,2018-03-18,4.325,5/18/2018,61
642,2018-03-19,6.725,5/18/2018,60
646,2018-03-20,4.625,5/18/2018,59
650,2018-03-21,5.175,5/18/2018,58
654,2018-03-22,8.65,5/18/2018,57
658,2018-03-23,9.125,5/18/2018,56
662,2018-03-24,10.75,5/18/2018,55
666,2018-03-25,12.9,5/18/2018,54
670,2018-03-26,12.575,5/18/2018,53
674,2018-03-27,12.6,5/18/2018,52
678,2018-03-28,13.375,5/18/2018,51
682,2018-03-29,12.775,5/18/2018,50
686,2018-03-30,13.575,5/18/2018,49
690,2018-03-31,12.875,5/18/2018,48
694,2018-04-01,13.05,5/18/2018,47
698,2018-04-02,13.05,5/18/2018,46
702,2018-04-03,10.9,5/18/2018,45
706,2018-04-04,9.925,5/18/2018,44
710,2018-04-05,10.575,5/18/2018,43
714,2018-04-06,10.625,5/18/2018,42
718,2018-04-07,9.625,5/18/2018,41
722,2018-04-08,9.275,5/18/2018,40
726,2018-04-09,8.925,5/18/2018,39
730,2018-04-10,8.125,5/18/2018,38
734,2018-04-11,7.975,5/18/2018,37
738,2018-04-12,7.3,5/18/2018,36
742,2018-04-13,7.175,5/18/2018,35
746,2018-04-14,7.25,5/18/2018,34
750,2018-04-15,7.9,5/18/2018,33
754,2018-04-16,7.65,5/18/2018,32
758,2018-04-17,8.675,5/18/2018,31
762,2018-04-18,8.8,5/18/2018,30
766,2018-04-19,8.65,5/18/2018,29
770,2018-04-20,8.125,5/18/2018,28
774,2018-04-21,8.175,5/18/2018,27
778,2018-04-22,8.075,5/18/2018,26
782,2018-04-23,8.275,5/18/2018,25
786,2018-04-24,8.075,5/18/2018,24
790,2018-04-25,7.3,5/18/2018,23
794,2018-04-26,7.8,5/18/2018,22
798,2018-04-27,7.85,5/18/2018,21
802,2018-04-28,7.975,5/18/2018,20
806,2018-04-29,7.55,5/18/2018,19
810,2018-04-30,6.925,5/18/2018,18
814,2018-05-01,7.775,5/18/2018,17
818,2018-05-02,8,5/18/2018,16
822,2018-05-03,8.2,5/18/2018,15
826,2018-05-04,8.55,5/18/2018,14
830,2018-05-05,9.75,5/18/2018,13
834,2018-05-06,9.6,5/18/2018,12
838,2018-05-07,9.425,5/18/2018,11
842,2018-05-08,9.475,5/18/2018,10
846,2018-05-09,9.8,5/18/2018,9
850,2018-05-10,9.9,5/18/2018,8
854,2018-05-11,9.9,5/18/2018,7
858,2018-05-12,10.55,5/18/2018,6
861,2018-05-13,11.3,5/18/2018,5
865,2018-05-14,11.375,5/18/2018,4
869,2018-05-15,9.675,5/18/2018,3
873,2018-05-16,9.275,5/18/2018,2
877,2018-05-17,9.475,5/18/2018,1
881,2018-05-18,9.975,5/18/2018,0
338,2018-01-01,0.825,5/19/2018,138
342,2018-01-02,0.625,5/19/2018,137
346,2018-01-03,0.575,5/19/2018,136
350,2018-01-04,0.5,5/19/2018,135
354,2018-01-05,0.125,5/19/2018,134
358,2018-01-06,0.375,5/19/2018,133
361,2018-01-07,0.525,5/19/2018,132
364,2018-01-08,0.5,5/19/2018,131
368,2018-01-09,1.375,5/19/2018,130
372,2018-01-10,1.85,5/19/2018,129
376,2018-01-11,2.15,5/19/2018,128
380,2018-01-12,3.125,5/19/2018,127
384,2018-01-13,3.4,5/19/2018,126
387,2018-01-14,4.025,5/19/2018,125
391,2018-01-15,4.2,5/19/2018,124
395,2018-01-16,4.9,5/19/2018,123
399,2018-01-17,5.875,5/19/2018,122
403,2018-01-18,5.925,5/19/2018,121
407,2018-01-19,5.825,5/19/2018,120
411,2018-01-20,5.675,5/19/2018,119
415,2018-01-21,4.95,5/19/2018,118
419,2018-01-22,5.275,5/19/2018,117
423,2018-01-23,4.725,5/19/2018,116
427,2018-01-24,4.15,5/19/2018,115
431,2018-01-25,3.725,5/19/2018,114
435,2018-01-26,3.25,5/19/2018,113
439,2018-01-27,1.725,5/19/2018,112
443,2018-01-28,2.025,5/19/2018,111
447,2018-01-29,3.025,5/19/2018,110
451,2018-01-30,3,5/19/2018,109
455,2018-01-31,3,5/19/2018,108
459,2018-02-01,2.675,5/19/2018,107
463,2018-02-02,2.925,5/19/2018,106
467,2018-02-03,3.15,5/19/2018,105
471,2018-02-04,3.7,5/19/2018,104
475,2018-02-05,3.325,5/19/2018,103
479,2018-02-06,3.325,5/19/2018,102
483,2018-02-07,3.65,5/19/2018,101
487,2018-02-08,3.875,5/19/2018,100
491,2018-02-09,4.35,5/19/2018,99
495,2018-02-10,5.125,5/19/2018,98
499,2018-02-11,4.25,5/19/2018,97
503,2018-02-12,4.375,5/19/2018,96
507,2018-02-13,4.25,5/19/2018,95
511,2018-02-14,3.7,5/19/2018,94
515,2018-02-15,4.375,5/19/2018,93
519,2018-02-16,2.55,5/19/2018,92
523,2018-02-17,1.8,5/19/2018,91
527,2018-02-18,1.65,5/19/2018,90
531,2018-02-19,1.575,5/19/2018,89
535,2018-02-20,2.675,5/19/2018,88
539,2018-02-21,1.95,5/19/2018,87
543,2018-02-22,0.625,5/19/2018,86
547,2018-02-23,1.15,5/19/2018,85
551,2018-02-24,0.6,5/19/2018,84
554,2018-02-25,1.35,5/19/2018,83
558,2018-02-26,1.15,5/19/2018,82
562,2018-02-27,1.225,5/19/2018,81
566,2018-02-28,1.8,5/19/2018,80
570,2018-03-01,2.025,5/19/2018,79
574,2018-03-02,2.525,5/19/2018,78
578,2018-03-03,3.45,5/19/2018,77
582,2018-03-04,3.375,5/19/2018,76
586,2018-03-05,3.325,5/19/2018,75
590,2018-03-06,3.275,5/19/2018,74
594,2018-03-07,5.6,5/19/2018,73
598,2018-03-08,6.5,5/19/2018,72
602,2018-03-09,6.65,5/19/2018,71
606,2018-03-10,6.55,5/19/2018,70
610,2018-03-11,6.35,5/19/2018,69
614,2018-03-12,5.825,5/19/2018,68
618,2018-03-13,6.575,5/19/2018,67
622,2018-03-14,5.85,5/19/2018,66
626,2018-03-15,6.625,5/19/2018,65
630,2018-03-16,6.9,5/19/2018,64
634,2018-03-17,6.05,5/19/2018,63
638,2018-03-18,3.7,5/19/2018,62
642,2018-03-19,6.375,5/19/2018,61
646,2018-03-20,4.575,5/19/2018,60
650,2018-03-21,4.825,5/19/2018,59
654,2018-03-22,8.5,5/19/2018,58
658,2018-03-23,8.725,5/19/2018,57
662,2018-03-24,10.725,5/19/2018,56
666,2018-03-25,12.35,5/19/2018,55
